AACS	FOCAD
GAREML	LRRC1
GAREML	MRPS23
GAREML	RAB11B
SNAP91	TIMELESS
TIMELESS	PSMC3IP
TIMELESS	KIF22
ANKIB1	LIN54
ANKIB1	HIPK2
ANKIB1	SHQ1
LIN54	RMND1
LIN54	ATP2C1
LIN54	QDPR
CCNT2	SHQ1
SHQ1	CLUAP1
RMND1	NFU1
RMND1	PPIL4
PPIL4	MGRN1
CLUAP1	EIF2B1
COL9A3	EXD3
EXD3	PALM
PPM1G	RBM14
PALM	SNTB2
PALM	C12ORF32
EYS	HAUS8
EYS	CORO2B
EYS	C9ORF85
EYS	PCNT
HAUS8	HAUS5
HAUS8	SPC24
C22ORF13	RNF182
C22ORF13	ETAA1
RBM14	SAP130
MTHFD2	SGTA
ANKRD13A	CALM2
ANKRD13A	PPIL2
PAIP2B	P4HTM
PAIP2B	ERP29
PAIP2B	PDE4D
P4HTM	FABP7
P4HTM	FLRT2
ERP29	RGPD2
RGPD2	RGPD1
ANKRD13C	RAD18
ANKRD13C	BBS5
RAD18	ATAD2B
ATAD2B	DPYSL4
ANKRD20A1	ANKRD20A3
ASTN1	RHOC
ANKRD39	ERI1
ERI1	MTMR7
MTMR7	MAGI3
MTMR7	PTPRO
MTMR7	SLC25A27
MAGI3	CMPK1
PTPRO	EXOG
CPEB4	MPPE1
CPEB4	ATF6B
MPPE1	SLC1A2
MPPE1	KIAA1683
PSMC3IP	GPX1
PSMC3IP	NAP1L3
PSMC3IP	STX8
GPX1	THAP6
GPX1	SHISA2
GSDMB	GSTO2
GSDMB	BCL6
GSDMB	DCUN1D5
GSDMB	FANCM
GSDMB	KIAA2022
GSTO2	PARD3B
GSTO2	EPC2
NUDT9	DCUN1D5
NUDT9	NUBP1
NUDT9	GFM2
ANP32B	RNF13
TDRD3	EXT2
ANXA6	PAK7
PAK7	DYNC1I2
PAK7	NECAB1
NECAB1	JMJD1C
NECAB1	POLE2
COX18	FRY
GPT2	SLC11A2
PARD3B	SKIV2L2
PARD3B	STAU2
RNF175	BCL7A
RNF175	EIF1
BCL7A	ARL6IP4
BCL7A	SAP130
BCL7A	SIRT1
BCL7A	CSNK1G3
BCL7A	GALNT7
BCL7A	NUBPL
SV2A	KATNB1
AP3M2	RNF141
BAT3	SNX1
RNF141	KANSL3
SNX1	GAP43
KANSL3	GTF2IRD1
APAF1	KATNB1
KATNB1	C19ORF55
KATNB1	SGSM2
EML1	SGSM2
C19ORF55	HARS2
C19ORF55	PABPC1L
RHOC	PTPMT1
RHOC	BEX2
APTX	SCMH1
APTX	IL33
APTX	NOL10
SCMH1	C18ORF21
SCMH1	SLC35F6
C18ORF21	GABBR1
C18ORF21	SMARCD1
GABBR1	NFYA
GABBR1	SLC35A5
NFYA	PPP1R12B
NFYA	FAHD1
NFYA	NEK1
PITPNA	CTSA
PITPNA	IMPAD1
PHYH	SMARCA1
PPP1R12B	MAK
ARCN1	HINT2
HINT2	HMBOX1
ARFGAP1	GPATCH2
ARFGAP1	IFT80
GPATCH2	KAZN
DBNDD1	MRPS14
DBNDD1	METT5D1
DBNDD1	CDCA4
KAZN	LSP1
IFT80	FAM178A
C12ORF65	MFGE8
C12ORF65	CDC45L
MRPS14	KIAA2018
EXOSC5	IDE
EXOSC5	MYO1B
MFGE8	PIBF1
RAB34	BCL2L11
RAB34	MGRN1
NUP133	METT5D1
NUP133	MBD4
METT5D1	COPG1
GCFC2	FDX1
FDX1	C2orf76
FDX1	GUF1
FDX1	CPD
SCAND1	KDM2B
ARHGAP12	DEAF1
DEAF1	ITFG2
DEAF1	B4GALT3
ITFG2	FAM213B
ITFG2	LRCH2
