RAB34	GRAMD1C
TBRG4	KIAA0391
SEC14L1	SESTD1
FAM227A	RIOK3
FAM227A	KCNJ10
FAM227A	CDH4
FAM227A	CDC6
RIOK3	FLOT2
RIOK3	SEC23IP
RIOK3	RGS12
AASS	ATE1
ATE1	STRN3
STRN3	SLC16A9
DGCR6	MCEE
DGCR6	P4HTM
DGCR6	DGCR6L
DGCR6	FAM76B
P4HTM	COQ7
SLC16A9	PAM
AATF	DCP1A
AATF	AKAP10
AATF	EVI5
DCP1A	CAPN12
DCP1A	RAN
CAPN12	RAB12
EVI5	DPP3
GNPTAB	GPR89B
GNPTAB	MYNN
GNPTAB	RAB12
GNPTAB	MAPK6
GPR89B	SLC25A12
MYNN	KANSL3
RNF182	RAB6C
RNF182	POM121C
RAB6C	GALNT16
SIN3A	MUTYH
MUTYH	CCDC138
PAFAH1B3	CARKD
CARKD	FAM50A
CARKD	PLTP
CARKD	ARSD
CARKD	IQCB1
CARKD	PAPSS1
DNAJC16	NUP133
DNAJC16	TIMM50
DNAJC16	IFT52
NUP133	SORBS3
SAP130	DUSP6
SAP130	PSD3
DUSP6	SLC44A1
TIMM50	GANAB
TIMM50	SCN8A
POMGNT1	ARID4B
DPP3	RAB6A
GFAP	SMC6
GFAP	HEATR1
SMC6	C5ORF42
SMC6	NR2E1
RNF2	HUNK
HUNK	FBLN1
HUNK	KLF3
SYT1	CEP120
CEP120	CHCHD1
CEP120	NFKBIA
CEP120	FAM72A
CEP120	KHDRBS3
IFNGR2	IQGAP2
IFNGR2	ALDOA
IQGAP2	EXOC3
ARHGEF9	GALNT16
GALNT16	BCAT1
ATP1A1	SPATS2L
SPATS2L	BPNT1
SPATS2L	RBP1
ATPAF1	POM121C
ATPAF1	BXDC2
ATPAF1	SOX4
BCAT1	EIF1AY
PLCG1	NFIL3
NFIL3	GLI3
NFIL3	MYH9
NFIL3	NOC4L
PRR13	ATG10
ATG10	FAM21C
ATG10	MBNL1
CCDC138	ACOT9
C5ORF42	OXCT1
C5ORF42	ATP6V1B2
ABCA1	SNX7
ABCA1	CNN3
ABCA1	PVRL3
SNX7	CRTC1
CCDC117	EARS2
CCDC117	FBXO45
EARS2	LY6G5C
EARS2	OGFOD1
EARS2	C9ORF46
EARS2	ALDH16A1
CRTC1	FBXO45
CRTC1	MYL6
FBXO45	SMPDL3A
DICER1	EIF1AX
DICER1	C7ORF55-LUC7L2
DICER1	DAB1
EIF1AX	AP3D1
ERCC6L2	CMPK1
ERCC6L2	GTF3C4
CMPK1	KRBA2
GTF3C4	PRDX2
POLR3A	NIPA1
POLR3A	CKAP2L
POLR3A	IGF2BP3
POLR3A	SLC35A4
NIPA1	REC8
NIPA1	FAM160B1
